homeLanguage,lived,outsideLanguage,workerid,language,describe,education,comments,assess,age,proficiency,gender,enjoyment,yearsLived
english,never,english,0,英語,other,2,,Yes,四十,nearNative,Female,1,never
-1,-1,-1,1,,-1,-1,,,,-1,,-1,-1
english,never,english,2,英语,EnglishChinese,3,,Yes,43,other,Female,1,never
english,both8,english,3,43,other,1,90,Yes,125,native,Other,1,1to5
chinese,never,other,4,,ChineseChinese,1,,No,,basic,Male,1,1
english,never,english,5,ENGLISH,ChineseChinese,2,它可以参与这种跨文化调查。,Yes,32,advanced,Male,0,1
chinese,both8,english,6,  中文,ChineseEnglish,2,,Yes,21,native,Female,1,5plus
english,never,other,7,english,EnglishChinese,2,,No,26,advanced,Male,1,1to5
english,both8,english,8,,ChineseEnglish,1,,Yes,,intermediate,Female,1,1
english,both8,english,9,,ChineseEnglish,1,,Yes,27,advanced,Female,0,1
chinese,never,english,10,ENGLISH,ChineseChinese,0,good,No,25,intermediate,Male,0,1
chinese,before8,english,11,汉语,ChineseEnglish,4,,Yes,38,native,Male,2,5plus
english,both8,other,12,,EnglishChinese,1,,Yes,,advanced,Female,1,1
english,both8,english,13,,ChineseEnglish,4,,Yes,57,nearNative,Female,2,5plus
english,before8,chinese,14,,ChineseChinese,0,,Yes,54,advanced,Female,0,1to5
other,both8,english,15,,EnglishChinese,1,,No,,intermediate,Female,2,1
english,both8,english,16,,ChineseEnglish,1,,Yes,,intermediate,Female,1,1
english,both8,english,17,,ChineseEnglish,1,,Yes,,intermediate,Female,1,1
english,never,english,18,India,EnglishChinese,1,,No,Mr,advanced,Male,0,1to5
chinese,both8,english,19, 中文,ChineseEnglish,3,"
谢谢",Yes,二十五,advanced,Male,0,5plus
english,both8,chinese,20, 英语,ChineseEnglish,3,,Yes,23,nearNative,Female,2,1to5
chinese,both8,english,21,中文,ChineseEnglish,3,,Yes,48,nearNative,Male,2,5plus
-1,-1,-1,22,,-1,1,,Yes,,-1,Female,-1,-1
english,both8,english,23,,ChineseEnglish,1,,Yes,,intermediate,Female,1,1
