age,comments,assess,education,enjoyment,gender,language,workerid
42,,Yes,3,1,Male,English,0
38,,Yes,4,1,Female,english,1
45,,Yes,3,1,Male,english,2
30,,Yes,2,1,Male,english,3
26,,Yes,0,0,Male,english,4
73,none,Yes,2,2,Male,Dutch,5
30,,Yes,3,1,Male,english,6
