workerid,anon_workerid
A3VB18WJ2HIW4M,0
A2DXYZSG2E7HT0,1
ACBK30I7R42NI,2
A1OCEC1TBE3CWA,3
A3OXVCZNR8WID5,4
A1Z9OQ4ULMNKL7,5
A25I110YXT1QRA,6
A380I67HFR0VUF,7
APMXN2E9F4OJU,8
A369HDC6T90Q1H,9
A2FWCIEJCSGM7B,10
A15TLEMC9O4ZUD,11
A4TQSZDPARE7I,12
AD0NVUGLDYDYN,13
A1NYHBSW9EIQX9,14
A168SEC7LLVYHJ,15
A1V3FV89RVGASD,16
AW0BLV9QJ601Q,17
A3QVZ4SZB79D8W,18
A1N53V41FMCR7Q,19
A27ODHA3747UVP,20
A29IGBZ9R3C59H,21
AXIG0OZ5RQ04C,22
A3SPWH2STP9KC7,23
A3DQXAOG1FU44O,24
A3TNDIDXR6LO7C,25
A1JLHMKBGSRROO,26
A2ZX5TLZPAQ2XD,27
ATTGD1M94GFR,28
A1MNVFRIMBY6SI,29
A3ENB9SSFRHP9X,30
A2P5R40NOOZ4HJ,31
APHNYDGTCRN3O,32
A34T53JHM69VKO,33
A1M0JDU08KRH7X,34
A2VNR6984SDFGQ,35
ADFK3HW4HAH48,36
AZF4QMJ2UGW5O,37
A1198W1SPF1R4,38
A1WSSSEYTPLEUW,39
A2V4CKDV6TKXQ0,40
A1C6NTK19FBQO0,41
A3QDFV8LK9A1HX,42
A2ID4B3JMUWAP7,43
A2Q1JUSJ9THUDZ,44
A9DOTI70MLJU3,45
A3KYQT21GQY4X0,46
A182N7RLXGSCZG,47
A3PAELC96MN4UK,48
A2B4NOB02ERQCL,49
